Cluster 0 of PKA,Cluster1 of PKA,Cluster 0 of Sieve,Cluster 1 of Sieve,Cluster 0 of Photon,Cluster 1 of Photon
,2176,,,2145,
,2144,,,2144,
,2113,,,2144,
,2112,,,2145,
,2272,,,2176,
,2113,,,2144,
,2144,,,2144,
,2144,,,2336,
,2145,,,2112,
,2144,,,2111,
,2144,,,2144,
,2144,,,2145,
,2272,,,2112,
,2144,,,2112,
,4224,,,2112,
,4608,,,2240,
,1952,,,2112,
,1440,,,2496,
,1312,,,2176,
,1312,,,2113,
,3232,,,2176,
,1408,,,2112,
,1856,,,2145,
,1985,,,2144,
,1344,,,2176,
,2528,,,2272,
,1408,,,2176,
,3264,,,2145,
,1312,,,2176,
,2112,,,2176,
,1344,,,2145,
,2528,,,2144,
,2113,,,2144,
,2176,,,2305,
,2240,,,2144,
,2175,,,2144,
,2144,,,2144,
,2144,,,2144,
,2144,,,2145,
,2272,,,2176,
,2176,,,2112,
,2144,,,2304,
,2144,,,2176,
,2176,,,2560,
,2176,,,2144,
,2144,,,2112,
,2144,,,2175,
,2272,,,2144,
,2112,,,2144,
,2145,,,2144,
,2112,,,2176,
,2208,,,2305,
,2112,,,2144,
,2144,,,2176,
,2145,,,2144,
,2272,,,2176,
,2144,,,2112,
,4256,,,2144,
,4768,,,2144,
,2016,,,2272,
,1408,,,2112,
,1343,,,2112,
,1344,,,2176,
,3264,,,2112,
,1344,,,2112,
,1855,,,2145,
,1984,,,2144,
,1344,,,2304,
,2592,,,2112,
,1376,,,2560,
,3072,,,2144,
,1376,,,2144,
,2112,,,2112,
,1312,,,2144,
,2528,,,2112,
,2112,,,2176,
,2144,,,2144,
,2176,,,2272,
,2144,,,2111,
,2144,,,2144,
,2144,,,2144,
,2145,,,2144,
,2304,,,2144,
,2144,,,2176,
,2112,,,2112,
,2144,,,2304,
,2144,,,2144,
,2144,,,2144,
,2144,,,2176,
,2113,,,2144,
,2272,,,2144,
,2176,,,2112,
,2111,,,2112,
,2144,,,2272,
,2112,,,2145,
,2144,,,2528,
,2112,,,2111,
,2112,,,2144,
,2304,,,2144,
,2144,,,2177,
,4224,,,2176,
,4639,,,2176,
,1920,,,2176,
,1409,,,2304,
,1376,,,2112,
,1344,,,2176,
,3231,,,2144,
,1345,,,2176,
,1856,,,2144,
,1952,,,2112,
,1344,,,2176,
,2592,,,2272,
,1376,,,2144,
,3168,,,2113,
,1344,,,2144,
,2080,,,2144,
,1312,,,2144,
,2560,,,2112,
,2144,,,2144,
,2112,,,2272,
,2176,,,2144,
,2112,,,2528,
,2177,,,2176,
,2144,,,2143,
,2176,,,2144,
,2271,,,2144,
,2144,,,2113,
,2144,,,2176,
,2143,,,2144,
,2144,,,2304,
,2176,,,2144,
,2144,,,2144,
,2176,,,2176,
,2240,,,2144,
,2144,,,2175,
,2144,,,2144,
,2175,,,2144,
,2112,,,2273,
,2144,,,2144,
,2144,,,2112,
,2144,,,2143,
,2272,,,2176,
,2144,,,2111,
,4193,,,2112,
,4768,,,2144,
,1920,,,2271,
,1440,,,2144,
,1344,,,2496,
,1343,,,2144,
,3328,,,2176,
,1376,,,2175,
,1888,,,2144,
,1952,,,2144,
,1376,,,2175,
,2496,,,2112,
,1408,,,2304,
,3040,,,2176,
,1344,,,2144,
,2080,,,2175,
,1312,,,2176,
,2496,,,2144,
,2144,,,2144,
,2144,,,2112,
,2176,,,2336,
,2176,,,2144,
,2144,,,2144,
,2143,,,2176,
,2144,,,2144,
,2272,,,2112,
,2112,,,2113,
,2144,,,2112,
,2177,,,2272,
,2176,,,2144,
,2176,,,2528,
,2144,,,2111,
,2144,,,2144,
,2240,,,2144,
,2176,,,2144,
,2144,,,2112,
,2176,,,2144,
,2113,,,2145,
,2144,,,2304,
,2113,,,2176,
,2176,,,2112,
,2272,,,2112,
,2145,,,2177,
,4224,,,2176,
,4672,,,2112,
,1920,,,2177,
,1440,,,2272,
,1376,,,2112,
,1376,,,2144,
,3296,,,2144,
,1344,,,2112,
,1825,,,2144,
,1984,,,2112,
,1376,,,2145,
,2528,,,2240,
,1376,,,2144,
,3072,,,2528,
,1376,,,2176,
,2080,,,2113,
,1312,,,2176,
,2528,,,2144,
,2145,,,2112,
,2176,,,2112,
,2176,,,2208,
,2144,,,2272,
,2176,,,2144,
,2112,,,2144,
,2143,,,2144,
,2272,,,2176,
,2145,,,2145,
,2144,,,2112,
,2144,,,2144,
,2145,,,2303,
,2176,,,2208,
,2144,,,2112,
,2144,,,2112,
,2336,,,2144,
,2112,,,2145,
,2111,,,2112,
,2144,,,2144,
,2145,,,2271,
,2112,,,2144,
,2112,,,2527,
,2112,,,2144,
,2240,,,2144,
,2112,,,2176,
,4256,,,2144,
,4736,,,2176,
,1952,,,2176,
,1408,,,2176,
,1376,,,2272,
,1344,,,2176,
,3296,,,2144,
,1376,,,2176,
,1856,,,2144,
,2016,,,2144,
,1344,,,2112,
,2432,,,2144,
,1408,,,2272,
,3136,,,2112,
,1345,,,2144,
,2048,,,2144,
,1344,,,2145,
,2496,,,2144,
,2176,,,2145,
,2113,,,2112,
,2176,,,2240,
,2112,,,2145,
,2145,,,2528,
,2144,,,2176,
,2176,,,2144,
,2272,,,2144,
,2176,,,2177,
,2145,,,2144,
,2176,,,2144,
,2176,,,2144,
,2145,,,2272,
,2144,,,2144,
,2144,,,2144,
,2305,,,2144,
,2144,,,2143,
,2144,,,2144,
,2144,,,2143,
,2144,,,2144,
,2145,,,2272,
,2176,,,2176,
,2112,,,2144,
,2304,,,2176,
,2176,,,2113,
,4288,,,2112,
,4608,,,2144,
,2048,,,2113,
,1409,,,2240,
,1312,,,2144,
,1344,,,2560,
,3296,,,2112,
,1375,,,2145,
,1856,,,2176,
,1984,,,2176,
,1376,,,2176,
,2624,,,2144,
,1408,,,2143,
,3136,,,2304,
,1376,,,2176,
,2048,,,2145,
,1312,,,2144,
,2560,,,2176,
,2144,,,2144,
,2112,,,2176,
,2175,,,2144,
,2144,,,2305,
,2144,,,2144,
,2144,,,2144,
,2176,,,2144,
,2305,,,2176,
,2144,,,2144,
,2176,,,2176,
,2144,,,2144,
,2176,,,2273,
,2112,,,2112,
,2144,,,2529,
,2144,,,2144,
,2272,,,2144,
,2112,,,2112,
,2112,,,2144,
,2176,,,2144,
,2112,,,2112,
,2112,,,2144,
,2145,,,2271,
,2144,,,2112,
,2304,,,2176,
,2112,,,2144,
,4224,,,2176,
,4768,,,2144,
